postcode,locality,region,island,lat,long,,territory
110,Abbey Caves,Northland,North Island,-35.749,174.327,,Whangarei
110,Avenues,Northland,North Island,-35.749,174.327,,Whangarei
110,Horahora,Northland,North Island,-35.749,174.327,,Whangarei
110,Morningside,Northland,North Island,-35.749,174.327,,Whangarei
110,Onerahi,Northland,North Island,-35.749,174.327,,Whangarei
110,Otaika,Northland,North Island,-35.749,174.327,,Whangarei
110,Port Whangarei,Northland,North Island,-35.749,174.327,,Whangarei
110,Raumanga,Northland,North Island,-35.749,174.327,,Whangarei
110,Whangarei Central,Northland,North Island,-35.749,174.327,,Whangarei
112,Glenbervie,Northland,North Island,-35.693,174.3001,,Whangarei
112,Kamo,Northland,North Island,-35.693,174.3001,,Whangarei
112,Kensington,Northland,North Island,-35.693,174.3001,,Whangarei
112,Mairtown,Northland,North Island,-35.693,174.3001,,Whangarei
112,Otangarei,Northland,North Island,-35.693,174.3001,,Whangarei
112,Parahaki,Northland,North Island,-35.693,174.3001,,Whangarei
112,Regent,Northland,North Island,-35.693,174.3001,,Whangarei
112,Riverside,Northland,North Island,-35.693,174.3001,,Whangarei
112,Tikipunga,Northland,North Island,-35.693,174.3001,,Whangarei
114,Hikurangi,Northland,North Island,-35.5909,174.2815,,Whangarei
114,Waro,Northland,North Island,-35.5909,174.2815,,Whangarei District
140,Riverside,Northland,North Island,-35.7245,174.3213,,Whangarei District
141,Otangarei,Northland,North Island,-35.6834,174.3008,,Whangarei District
142,Sherwood Rise,Northland,North Island,-35.7546,174.3681,,Whangarei District
143,Morningside,Northland,North Island,-35.7343,174.3054,,Whangarei District
144,Tikipunga,Northland,North Island,-35.6866,174.3266,,Whangarei District
145,Kensington,Northland,North Island,-35.7085,174.3207,,Whangarei District
146,Maungakaramea,Northland,North Island,-35.8451,174.2048,,Whangarei District
147,Woodhill,Northland,North Island,-35.7429,174.308,,Whangarei District
148,Woodhill,Northland,North Island,-35.7512,174.3152,,Whangarei District
149,Riverside,Northland,North Island,-35.7247,174.3259,,Whangarei District
150,Hikurangi,Northland,North Island,-35.5979,174.2863,,Whangarei District
151,Ruakaka,Northland,North Island,-35.8751,174.4554,,Whangarei District
152,Maungatapere,Northland,North Island,-35.7549,174.2081,,Whangarei District
153,Tutukaka,Northland,North Island,-35.6129,174.522,,Whangarei District
154,Ngunguru,Northland,North Island,-35.6297,174.5041,,Whangarei District
170,Puwera,Northland,North Island,-35.7762,174.268,,Whangarei District
171,Mata,Northland,North Island,-35.8556,174.3925,,Whangarei District
172,Parakao,Northland,North Island,-35.7039,173.9353,,Kaipara District
173,Kiripaka,Northland,North Island,-35.6147,174.4391,,Whangarei District
174,Whangarei Heads,Northland,North Island,-35.8069,174.4823,,Whangarei District
175,Tahere,Northland,North Island,-35.6943,174.4312,,Whangarei District
176,Moengawahine,Northland,North Island,-35.6306,174.1057,,Whangarei District
178,Maungakaramea,Northland,North Island,-35.852,174.2236,,Kaipara District
179,Maungatapere,Northland,North Island,-35.7562,174.1728,,Whangarei District
181,Marua,Northland,North Island,-35.5606,174.3839,,Whangarei District
182,Hukerenui,Northland,North Island,-35.4967,174.1879,,Far North District
184,Whangaruru North,Northland,North Island,-35.3593,174.3023,,Whangarei District
185,Ruatangata East,Northland,North Island,-35.6304,174.216,,Whangarei District
192,Rukuwai,Northland,North Island,-35.7429,174.4705,,Whangarei District
193,Waiotira,Northland,North Island,-35.9554,174.196,,Kaipara District
200,Paihia,Northland,North Island,-35.3073,174.0975,,Far North
241,Opua,Northland,North Island,-35.3124,174.1206,,Far North District
242,Russell,Northland,North Island,-35.2628,174.1228,,Far North District
243,Kawakawa,Northland,North Island,-35.3799,174.0672,,Far North District
244,Moerewa,Northland,North Island,-35.3875,174.0144,,Far North District
245,Kerikeri,Northland,North Island,-35.2289,173.9487,,Far North District
246,Waipapa,Northland,North Island,-35.206,173.9167,,Far North District
247,Paihia,Northland,North Island,-35.282,174.0915,,Far North District
271,Haruru,Northland,North Island,-35.2851,174.0397,,Far North District
272,Manawaora,Northland,North Island,-35.2844,174.1759,,Far North District
